dataset,TCW2
model,cnn
model_id,twc2_cnn_noconstraints
upsampling_factor,2
constraints,none
number_channels,64
number_residual_blocks,4
lr,0.001
loss,mse
optimizer,adam
weight_decay,1e-09
batch_size,64
epochs,20
alpha,0.99
test_val_train,val
training_evalonly,evalonly
dim_channels,1
adv_factor,0.0001
MSE,0.06781531739359101
RMSE,0.26041374
PSNR,51.77819
MAE,0.13846125868459544
SSIM,0.9966146945953369
MS SSIM,0.9990791082382202
Pearson corr,0.996638834476471
Mean bias,0.0465848408639431
Mean abs bias,0.0465848408639431
Mass_violation,0.10655678436160088
neg mean,-4.2771924199769273e-05
neg num,37
CRPS,0.0
